query,system_id,system_name,nDCG,MAP,MRR
red formal coat for kids,vector_search,Vector Search (LLM),0.8451850618939637,0.0,0.0
red formal coat for kids,baseline,Baseline,0.8792872118748393,0.5888888888888889,0.5
orange casual hoodie for kids,vector_search,Vector Search (LLM),0.5316812408254084,0.3291666666666666,0.25
orange casual hoodie for kids,baseline,Baseline,0.9481316041715844,1.0,1.0
black wool blazer for men,vector_search,Vector Search (LLM),0.7053571733135213,0.5416666666666666,0.5
black wool blazer for men,baseline,Baseline,1.0,1.0,1.0
beige oversized dress for men,vector_search,Vector Search (LLM),0.0,0.0,0.0
beige oversized dress for men,baseline,Baseline,0.38685280723454163,0.0,0.0
blue sportswear sweater for kids,vector_search,Vector Search (LLM),0.4231961722983851,0.225,0.2
blue sportswear sweater for kids,baseline,Baseline,0.9936842654610014,1.0,1.0
blue formal coat unisex,vector_search,Vector Search (LLM),0.0,0.0,0.0
blue formal coat unisex,baseline,Baseline,0.9953667455626984,1.0,1.0
red linen jeans for women,vector_search,Vector Search (LLM),0.9197207891481876,0.8333333333333333,1.0
red linen jeans for women,baseline,Baseline,0.8730383473024622,1.0,1.0
pink casual dress unisex,vector_search,Vector Search (LLM),0.0,0.0,0.0
pink casual dress unisex,baseline,Baseline,1.0,1.0,1.0
yellow oversized trousers for women,vector_search,Vector Search (LLM),0.9669850519151656,0.9028571428571428,1.0
yellow oversized trousers for women,baseline,Baseline,0.9888009031441519,0.9617346938775511,1.0
red casual boots for men,vector_search,Vector Search (LLM),0.0,0.0,0.0
red casual boots for men,baseline,Baseline,1.0,0.0,0.0
black denim jeans for women,vector_search,Vector Search (LLM),0.7777061538487877,0.5555555555555555,1.0
black denim jeans for women,baseline,Baseline,1.0,1.0,1.0
orange oversized shoes for men,vector_search,Vector Search (LLM),1.0,0.0,0.0
orange oversized shoes for men,baseline,Baseline,0.9484643309512418,1.0,1.0
brown oversized shoes unisex,vector_search,Vector Search (LLM),0.0,0.0,0.0
brown oversized shoes unisex,baseline,Baseline,0.9762388637052952,1.0,1.0
pink linen scarf for men,vector_search,Vector Search (LLM),1.0,1.0,1.0
pink linen scarf for men,baseline,Baseline,1.0,1.0,1.0
orange denim skirt for kids,vector_search,Vector Search (LLM),0.36571255814471043,0.1,0.1
orange denim skirt for kids,baseline,Baseline,0.8964880383069879,0.7875,1.0
orange slim fit t-shirt for kids,vector_search,Vector Search (LLM),0.9375915989714713,0.9761904761904763,1.0
orange slim fit t-shirt for kids,baseline,Baseline,0.9261749461918992,0.9526289682539684,1.0
brown cotton boots for men,vector_search,Vector Search (LLM),0.9708923176105698,0.9111111111111111,1.0
brown cotton boots for men,baseline,Baseline,1.0,1.0,1.0
green casual suit for women,vector_search,Vector Search (LLM),1.0,1.0,1.0
green casual suit for women,baseline,Baseline,0.8329762261778095,0.41666666666666663,0.3333333333333333
pink denim blazer for kids,vector_search,Vector Search (LLM),0.8837819667330619,0.8111111111111111,1.0
pink denim blazer for kids,baseline,Baseline,1.0,1.0,1.0
orange casual shoes for women,vector_search,Vector Search (LLM),0.8201089091338143,0.26666666666666666,0.2
orange casual shoes for women,baseline,Baseline,0.9467009784197933,0.7,1.0
red slim fit suit for women,vector_search,Vector Search (LLM),0.9676380444691278,0.95,1.0
red slim fit suit for women,baseline,Baseline,0.943384242414996,0.8857142857142857,1.0
pink casual sweater for men,vector_search,Vector Search (LLM),0.3562071871080222,0.16666666666666666,0.16666666666666666
pink casual sweater for men,baseline,Baseline,0.9833032486989473,0.9444444444444445,1.0
yellow slim fit boots for men,vector_search,Vector Search (LLM),0.7850779267768299,0.6083333333333333,0.5
yellow slim fit boots for men,baseline,Baseline,0.9496545111985014,0.95,1.0
white slim fit sweater for kids,vector_search,Vector Search (LLM),0.9178325331487477,0.9428571428571428,1.0
white slim fit sweater for kids,baseline,Baseline,0.9331583936847713,1.0,1.0
blue leather hoodie for men,vector_search,Vector Search (LLM),1.0,1.0,1.0
blue leather hoodie for men,baseline,Baseline,0.9248047315392173,1.0,1.0
white formal blazer for men,vector_search,Vector Search (LLM),0.0,0.0,0.0
white formal blazer for men,baseline,Baseline,0.9278962890731537,0.8125,1.0
pink cotton jeans unisex,vector_search,Vector Search (LLM),0.8138545062173527,0.625,1.0
pink cotton jeans unisex,baseline,Baseline,1.0,1.0,1.0
pink cotton dress unisex,vector_search,Vector Search (LLM),0.6309297535714575,0.5,0.5
pink cotton dress unisex,baseline,Baseline,0.9896062251871525,0.9666666666666666,1.0
blue casual suit for women,vector_search,Vector Search (LLM),0.8478850112877043,0.6428571428571428,1.0
blue casual suit for women,baseline,Baseline,0.8879218095063741,1.0,1.0
green oversized skirt for kids,vector_search,Vector Search (LLM),0.0,0.0,0.0
green oversized skirt for kids,baseline,Baseline,1.0,1.0,1.0
gray casual boots for men,vector_search,Vector Search (LLM),0.4306765580733931,0.25,0.25
gray casual boots for men,baseline,Baseline,0.6278397607958708,0.5,0.5
blue wool t-shirt for kids,vector_search,Vector Search (LLM),0.0,0.0,0.0
blue wool t-shirt for kids,baseline,Baseline,0.9808851350584302,1.0,1.0
black sportswear scarf for women,vector_search,Vector Search (LLM),0.2890648263178879,0.1,0.1
black sportswear scarf for women,baseline,Baseline,1.0,1.0,1.0
yellow wool jacket for men,vector_search,Vector Search (LLM),1.0,0.0,0.0
yellow wool jacket for men,baseline,Baseline,0.7770227215242603,0.3666666666666667,0.3333333333333333
orange leather hoodie for men,vector_search,Vector Search (LLM),0.4790262927928244,0.25740740740740736,0.25
orange leather hoodie for men,baseline,Baseline,0.9877107145578965,1.0,1.0
black slim fit t-shirt for women,vector_search,Vector Search (LLM),0.9258948952415028,1.0,1.0
black slim fit t-shirt for women,baseline,Baseline,0.97144755653092,1.0,1.0
green formal hoodie for women,vector_search,Vector Search (LLM),0.0,0.0,0.0
green formal hoodie for women,baseline,Baseline,0.822872939357519,0.9571428571428572,1.0
yellow sportswear boots for women,vector_search,Vector Search (LLM),0.5430667908374095,0.3333333333333333,0.3333333333333333
yellow sportswear boots for women,baseline,Baseline,1.0,1.0,1.0
gray oversized hoodie for men,vector_search,Vector Search (LLM),0.0,0.0,0.0
gray oversized hoodie for men,baseline,Baseline,1.0,1.0,1.0
white oversized trousers unisex,vector_search,Vector Search (LLM),0.0,0.0,0.0
white oversized trousers unisex,baseline,Baseline,0.9852676153411776,1.0,1.0
brown formal blazer for men,vector_search,Vector Search (LLM),0.875055132422894,0.8551587301587302,1.0
brown formal blazer for men,baseline,Baseline,0.9280145026954775,1.0,1.0
orange denim jacket unisex,vector_search,Vector Search (LLM),0.8977827724244329,0.7253968253968253,1.0
orange denim jacket unisex,baseline,Baseline,0.9761195197358757,0.8875,1.0
beige denim hoodie for women,vector_search,Vector Search (LLM),0.6081789838823377,0.38690476190476186,0.5
beige denim hoodie for women,baseline,Baseline,0.8091236814407775,0.5888888888888889,0.5
blue casual boots for women,vector_search,Vector Search (LLM),0.37926131373818606,0.125,0.125
blue casual boots for women,baseline,Baseline,0.47996975781793727,0.25,0.25
brown cotton dress unisex,vector_search,Vector Search (LLM),0.6509209298071326,0.5,0.5
brown cotton dress unisex,baseline,Baseline,0.9776273796988062,0.9761904761904763,1.0
blue denim boots for men,vector_search,Vector Search (LLM),0.5,0.3333333333333333,0.3333333333333333
blue denim boots for men,baseline,Baseline,0.0,0.0,0.0
black casual blazer for men,vector_search,Vector Search (LLM),0.975788054854922,0.925,1.0
black casual blazer for men,baseline,Baseline,1.0,1.0,1.0
white wool jeans unisex,vector_search,Vector Search (LLM),0.4574218750751793,0.16666666666666666,0.16666666666666666
white wool jeans unisex,baseline,Baseline,0.9441390272147963,1.0,1.0
gray formal hoodie unisex,vector_search,Vector Search (LLM),0.0,0.0,0.0
gray formal hoodie unisex,baseline,Baseline,1.0,1.0,1.0
black cotton coat for men,vector_search,Vector Search (LLM),0.911614295526283,0.7869614512471655,1.0
black cotton coat for men,baseline,Baseline,0.9743339332650837,0.9159722222222222,1.0
brown linen sweater unisex,vector_search,Vector Search (LLM),0.7320984482308368,0.6777777777777778,1.0
brown linen sweater unisex,baseline,Baseline,0.9433273067854467,0.9444444444444445,1.0
green oversized sneakers unisex,vector_search,Vector Search (LLM),0.9616542761424947,0.9028571428571428,1.0
green oversized sneakers unisex,baseline,Baseline,0.9375907646765075,0.9333333333333332,1.0
red wool dress for women,vector_search,Vector Search (LLM),0.0,0.0,0.0
red wool dress for women,baseline,Baseline,0.8871858519962142,0.9415178571428572,1.0
black sportswear sneakers for men,vector_search,Vector Search (LLM),0.0,0.0,0.0
black sportswear sneakers for men,baseline,Baseline,0.9754882150448003,0.8541666666666666,1.0
beige leather jacket unisex,vector_search,Vector Search (LLM),0.0,0.0,0.0
beige leather jacket unisex,baseline,Baseline,0.7558086129413277,0.325,0.25
pink casual jeans for men,vector_search,Vector Search (LLM),0.9888207360925791,1.0,1.0
pink casual jeans for men,baseline,Baseline,0.9481316041715844,1.0,1.0
pink denim blazer for women,vector_search,Vector Search (LLM),0.9876712785649565,0.9583333333333334,1.0
pink denim blazer for women,baseline,Baseline,1.0,1.0,1.0
white sportswear t-shirt for women,vector_search,Vector Search (LLM),0.7593434203530206,0.5210317460317461,1.0
white sportswear t-shirt for women,baseline,Baseline,0.975788054854922,0.925,1.0
brown denim sweater for women,vector_search,Vector Search (LLM),0.9066276098484507,0.7777777777777778,1.0
brown denim sweater for women,baseline,Baseline,1.0,1.0,1.0
yellow sportswear jacket for men,vector_search,Vector Search (LLM),0.9066276098484507,0.7777777777777778,1.0
yellow sportswear jacket for men,baseline,Baseline,1.0,1.0,1.0
brown sportswear shoes for kids,vector_search,Vector Search (LLM),0.47090027890413644,0.28154761904761905,0.14285714285714285
brown sportswear shoes for kids,baseline,Baseline,0.994056129468061,0.9761904761904763,1.0
green wool skirt for kids,vector_search,Vector Search (LLM),0.6166307791788606,0.39999999999999997,0.5
green wool skirt for kids,baseline,Baseline,0.9859056632751825,1.0,1.0
blue linen coat for women,vector_search,Vector Search (LLM),0.3672351322842749,0.125,0.125
blue linen coat for women,baseline,Baseline,0.8384348394548365,0.5888888888888889,0.5
orange linen boots for kids,vector_search,Vector Search (LLM),0.7928654229965442,0.5873015873015873,1.0
orange linen boots for kids,baseline,Baseline,0.9053112995489574,0.8055555555555555,1.0
white leather boots for men,vector_search,Vector Search (LLM),0.6045079052905902,0.35,0.5
white leather boots for men,baseline,Baseline,0.7579237460681981,0.3333333333333333,0.3333333333333333
white casual hoodie for kids,vector_search,Vector Search (LLM),0.9394243548061819,1.0,1.0
white casual hoodie for kids,baseline,Baseline,0.9630155959131649,1.0,1.0
red slim fit sweater for men,vector_search,Vector Search (LLM),0.5714285040141098,0.3611111111111111,0.5
red slim fit sweater for men,baseline,Baseline,0.9597195881086014,1.0,1.0
blue slim fit dress for women,vector_search,Vector Search (LLM),0.0,0.0,0.0
blue slim fit dress for women,baseline,Baseline,0.8433983123172906,0.9761904761904763,1.0
gray casual sneakers for kids,vector_search,Vector Search (LLM),0.9364501857286791,0.7777777777777778,1.0
gray casual sneakers for kids,baseline,Baseline,0.9794653631264242,1.0,1.0
yellow casual jacket for kids,vector_search,Vector Search (LLM),0.9499479173383518,0.8734126984126984,1.0
yellow casual jacket for kids,baseline,Baseline,0.9817073667166257,0.9761904761904763,1.0
orange denim sweater for women,vector_search,Vector Search (LLM),0.38685280723454163,0.0,0.0
orange denim sweater for women,baseline,Baseline,0.6907700731340152,0.2,0.2
green denim sweater for men,vector_search,Vector Search (LLM),0.3010299956639812,0.1111111111111111,0.1111111111111111
green denim sweater for men,baseline,Baseline,0.9946649729680349,0.9761904761904763,1.0
pink cotton dress for kids,vector_search,Vector Search (LLM),0.44130740935663865,0.225,0.25
pink cotton dress for kids,baseline,Baseline,0.99586156665065,1.0,1.0
yellow wool sneakers for kids,vector_search,Vector Search (LLM),0.9849472891681259,0.9583333333333334,1.0
yellow wool sneakers for kids,baseline,Baseline,0.9761505885342833,0.9583333333333334,1.0
blue linen scarf unisex,vector_search,Vector Search (LLM),0.9828920819566879,0.95,1.0
blue linen scarf unisex,baseline,Baseline,0.9900808841271455,1.0,1.0
green leather t-shirt unisex,vector_search,Vector Search (LLM),0.9373691761066303,1.0,1.0
green leather t-shirt unisex,baseline,Baseline,0.9407953111001875,1.0,1.0
green leather jacket for kids,vector_search,Vector Search (LLM),0.9178287402913374,0.0,0.0
green leather jacket for kids,baseline,Baseline,0.9830157245886672,0.95,1.0
red linen jeans unisex,vector_search,Vector Search (LLM),1.0,0.0,0.0
red linen jeans unisex,baseline,Baseline,0.8047167623838241,0.7000000000000001,1.0
pink oversized scarf for men,vector_search,Vector Search (LLM),0.8916873528495691,0.7916666666666666,1.0
pink oversized scarf for men,baseline,Baseline,0.9258948952415028,1.0,1.0
white denim sweater for women,vector_search,Vector Search (LLM),0.0,0.0,0.0
white denim sweater for women,baseline,Baseline,0.9930783166417602,0.9761904761904763,1.0
pink leather blazer for kids,vector_search,Vector Search (LLM),0.5399383497351345,0.26666666666666666,0.2
pink leather blazer for kids,baseline,Baseline,0.8865148455791143,0.7555555555555555,1.0
yellow casual jeans unisex,vector_search,Vector Search (LLM),0.9422677283143697,1.0,1.0
yellow casual jeans unisex,baseline,Baseline,0.8051861774053621,0.5845238095238094,0.5
red leather dress for kids,vector_search,Vector Search (LLM),0.0,0.0,0.0
red leather dress for kids,baseline,Baseline,0.9557034395662896,1.0,1.0
black slim fit hoodie for women,vector_search,Vector Search (LLM),0.8698595903368187,0.88015873015873,1.0
black slim fit hoodie for women,baseline,Baseline,0.9174387554076273,0.9444444444444445,1.0
orange denim trousers unisex,vector_search,Vector Search (LLM),0.8920679725048625,0.9666666666666666,1.0
orange denim trousers unisex,baseline,Baseline,0.8038874875243833,0.71,0.5
yellow cotton sweater for women,vector_search,Vector Search (LLM),0.9310314069464571,0.7928571428571428,1.0
yellow cotton sweater for women,baseline,Baseline,0.9833032486989473,0.9444444444444445,1.0
red cotton sweater unisex,vector_search,Vector Search (LLM),0.771619792562679,0.8041666666666667,1.0
red cotton sweater unisex,baseline,Baseline,0.9574512317096802,0.9325396825396826,1.0
black cotton sneakers for kids,vector_search,Vector Search (LLM),0.5,0.3333333333333333,0.3333333333333333
black cotton sneakers for kids,baseline,Baseline,0.9557034395662896,1.0,1.0
brown wool dress for women,vector_search,Vector Search (LLM),0.36548515207145893,0.125,0.125
brown wool dress for women,baseline,Baseline,0.7659704530413252,0.5666666666666667,0.5
white oversized blazer for men,vector_search,Vector Search (LLM),0.946974247576466,0.9111111111111111,1.0
white oversized blazer for men,baseline,Baseline,0.9880375430465429,1.0,1.0
gray wool hoodie unisex,vector_search,Vector Search (LLM),0.44130740935663865,0.225,0.25
gray wool hoodie unisex,baseline,Baseline,0.9557034395662896,1.0,1.0
beige linen blazer for women,vector_search,Vector Search (LLM),0.9695896443318807,0.9055555555555554,1.0
beige linen blazer for women,baseline,Baseline,1.0,1.0,1.0
blue leather skirt for women,vector_search,Vector Search (LLM),0.5883300173403989,0.4303571428571429,0.25
blue leather skirt for women,baseline,Baseline,1.0,1.0,1.0
brown slim fit dress for men,vector_search,Vector Search (LLM),0.6380651968558977,0.4888888888888889,0.5
brown slim fit dress for men,baseline,Baseline,0.8341108196739905,0.8055555555555555,1.0
green slim fit skirt unisex,vector_search,Vector Search (LLM),0.8484946226286495,0.8333333333333333,1.0
green slim fit skirt unisex,baseline,Baseline,0.9854300652558201,0.9761904761904763,1.0
orange casual trousers for men,vector_search,Vector Search (LLM),0.38685280723454163,0.2,0.2
orange casual trousers for men,baseline,Baseline,0.7587152500263723,0.5333333333333333,0.5
white linen jeans for kids,vector_search,Vector Search (LLM),1.0,1.0,1.0
white linen jeans for kids,baseline,Baseline,0.8398155695640648,0.14285714285714285,0.14285714285714285
black denim shoes unisex,vector_search,Vector Search (LLM),0.9180654083817015,0.7833333333333333,1.0
black denim shoes unisex,baseline,Baseline,1.0,1.0,1.0
beige slim fit coat for men,vector_search,Vector Search (LLM),0.7987764419744539,0.5833333333333333,0.5
beige slim fit coat for men,baseline,Baseline,1.0,1.0,1.0
brown sportswear hoodie for kids,vector_search,Vector Search (LLM),0.9817073667166257,0.9761904761904763,1.0
brown sportswear hoodie for kids,baseline,Baseline,0.9905040673504685,0.9761904761904763,1.0
black oversized jacket for women,vector_search,Vector Search (LLM),0.0,0.0,0.0
black oversized jacket for women,baseline,Baseline,1.0,1.0,1.0
beige oversized t-shirt for kids,vector_search,Vector Search (LLM),0.9902869621829307,0.9428571428571428,1.0
beige oversized t-shirt for kids,baseline,Baseline,1.0,1.0,1.0
yellow slim fit skirt for men,vector_search,Vector Search (LLM),0.8129687733682114,0.6142857142857142,1.0
yellow slim fit skirt for men,baseline,Baseline,1.0,1.0,1.0
green casual dress unisex,vector_search,Vector Search (LLM),0.0,0.0,0.0
green casual dress unisex,baseline,Baseline,1.0,1.0,1.0
beige oversized sneakers for kids,vector_search,Vector Search (LLM),0.8782126513467258,0.8666666666666667,1.0
beige oversized sneakers for kids,baseline,Baseline,1.0,1.0,1.0
pink cotton hoodie unisex,vector_search,Vector Search (LLM),0.8887223390544889,1.0,1.0
pink cotton hoodie unisex,baseline,Baseline,1.0,1.0,1.0
orange oversized skirt for women,vector_search,Vector Search (LLM),0.9419718646864267,0.9821428571428571,1.0
orange oversized skirt for women,baseline,Baseline,1.0,1.0,1.0
yellow sportswear dress unisex,vector_search,Vector Search (LLM),0.5012658353418871,0.325,0.25
yellow sportswear dress unisex,baseline,Baseline,0.9942445950642745,1.0,1.0
pink leather dress for kids,vector_search,Vector Search (LLM),0.0,0.0,0.0
pink leather dress for kids,baseline,Baseline,0.9961581648476711,1.0,1.0
blue oversized suit for kids,vector_search,Vector Search (LLM),0.0,0.0,0.0
blue oversized suit for kids,baseline,Baseline,0.8308778867348554,0.95,1.0
gray formal boots for women,vector_search,Vector Search (LLM),0.9560663591728151,1.0,1.0
gray formal boots for women,baseline,Baseline,0.897044634618745,1.0,1.0
pink formal suit for women,vector_search,Vector Search (LLM),0.4306765580733931,0.25,0.25
pink formal suit for women,baseline,Baseline,0.9880375430465429,1.0,1.0
orange denim dress for kids,vector_search,Vector Search (LLM),0.9373691761066303,1.0,1.0
orange denim dress for kids,baseline,Baseline,0.8541159566162887,1.0,1.0
white wool skirt for kids,vector_search,Vector Search (LLM),0.9385315507213184,0.8761904761904763,1.0
white wool skirt for kids,baseline,Baseline,0.8387500597140731,1.0,1.0
black wool boots for men,vector_search,Vector Search (LLM),0.9639404333166532,1.0,1.0
black wool boots for men,baseline,Baseline,0.7240755608515467,0.4777777777777777,0.3333333333333333
gray oversized sweater for women,vector_search,Vector Search (LLM),0.0,0.0,0.0
gray oversized sweater for women,baseline,Baseline,0.8887223390544889,1.0,1.0
brown formal coat for women,vector_search,Vector Search (LLM),0.9349366583346498,0.8303571428571428,1.0
brown formal coat for women,baseline,Baseline,1.0,1.0,1.0
red leather sweater for men,vector_search,Vector Search (LLM),0.3333333333333333,0.14285714285714285,0.14285714285714285
red leather sweater for men,baseline,Baseline,0.9483958652872304,1.0,1.0
brown wool jeans unisex,vector_search,Vector Search (LLM),0.8209751945886052,0.5694444444444444,1.0
brown wool jeans unisex,baseline,Baseline,0.9755092048504093,0.9761904761904763,1.0
black casual hoodie for men,vector_search,Vector Search (LLM),0.6309297535714575,0.5,0.5
black casual hoodie for men,baseline,Baseline,1.0,1.0,1.0
gray cotton suit unisex,vector_search,Vector Search (LLM),0.43067655807339306,0.25,0.25
gray cotton suit unisex,baseline,Baseline,0.6052602440527057,0.0,0.0
orange casual scarf for kids,vector_search,Vector Search (LLM),0.9575039791625404,1.0,1.0
orange casual scarf for kids,baseline,Baseline,0.9767020054138111,1.0,1.0
gray sportswear blazer unisex,vector_search,Vector Search (LLM),0.8772153153380493,0.75,1.0
gray sportswear blazer unisex,baseline,Baseline,0.9557034395662896,1.0,1.0
pink formal sweater for women,vector_search,Vector Search (LLM),0.9217868789962071,0.8095238095238094,1.0
pink formal sweater for women,baseline,Baseline,1.0,1.0,1.0
gray formal dress for women,vector_search,Vector Search (LLM),0.40395241999307363,0.2,0.2
gray formal dress for women,baseline,Baseline,0.9557034395662896,1.0,1.0
orange linen suit unisex,vector_search,Vector Search (LLM),0.9670042034736898,1.0,1.0
orange linen suit unisex,baseline,Baseline,0.5704234591054911,0.3666666666666667,0.3333333333333333
orange wool dress unisex,vector_search,Vector Search (LLM),0.6309297535714574,0.5,0.5
orange wool dress unisex,baseline,Baseline,0.9134425867761218,0.7611111111111111,1.0
white linen hoodie for kids,vector_search,Vector Search (LLM),0.9912243064839172,0.9666666666666666,1.0
white linen hoodie for kids,baseline,Baseline,1.0,1.0,1.0
beige slim fit sweater for men,vector_search,Vector Search (LLM),0.0,0.0,0.0
beige slim fit sweater for men,baseline,Baseline,0.9614823752333693,0.9444444444444445,1.0
red cotton hoodie unisex,vector_search,Vector Search (LLM),0.8502983370860306,0.6961904761904762,1.0
red cotton hoodie unisex,baseline,Baseline,0.9486303901759766,0.9214285714285715,1.0
red wool t-shirt unisex,vector_search,Vector Search (LLM),0.9143819303302785,0.8303571428571428,1.0
red wool t-shirt unisex,baseline,Baseline,0.9900808841271455,1.0,1.0
brown slim fit scarf unisex,vector_search,Vector Search (LLM),0.9134437391563432,0.9,1.0
brown slim fit scarf unisex,baseline,Baseline,0.9863520113014781,1.0,1.0
brown leather hoodie unisex,vector_search,Vector Search (LLM),0.9068250379649666,0.8099999999999999,1.0
brown leather hoodie unisex,baseline,Baseline,1.0,1.0,1.0
brown sportswear sneakers for men,vector_search,Vector Search (LLM),0.3010299956639812,0.1111111111111111,0.1111111111111111
brown sportswear sneakers for men,baseline,Baseline,0.8241377469002206,0.6791666666666667,0.5
yellow oversized boots for men,vector_search,Vector Search (LLM),0.9893813920724939,0.95,1.0
yellow oversized boots for men,baseline,Baseline,0.9263408308193167,0.9166666666666666,1.0
beige linen suit unisex,vector_search,Vector Search (LLM),0.0,0.0,0.0
beige linen suit unisex,baseline,Baseline,0.8200697852604174,0.6791666666666667,0.5
brown casual sneakers for women,vector_search,Vector Search (LLM),1.0,1.0,1.0
brown casual sneakers for women,baseline,Baseline,0.9256149482977668,0.8666666666666667,1.0
gray wool dress unisex,vector_search,Vector Search (LLM),0.8912614397641022,0.7211640211640211,1.0
gray wool dress unisex,baseline,Baseline,0.9761505885342833,0.9583333333333334,1.0
gray leather coat for kids,vector_search,Vector Search (LLM),0.58688267143572,0.3333333333333333,0.3333333333333333
gray leather coat for kids,baseline,Baseline,1.0,1.0,1.0
orange oversized sneakers for women,vector_search,Vector Search (LLM),0.927467478020852,1.0,1.0
orange oversized sneakers for women,baseline,Baseline,0.8703318724026323,0.7916666666666666,1.0
gray cotton shoes for men,vector_search,Vector Search (LLM),0.8885837595925424,0.725,1.0
gray cotton shoes for men,baseline,Baseline,0.7695207286049464,0.7287037037037036,1.0
brown sportswear shoes for men,vector_search,Vector Search (LLM),0.585982057106826,0.4777777777777777,0.3333333333333333
brown sportswear shoes for men,baseline,Baseline,1.0,1.0,1.0
white oversized jeans unisex,vector_search,Vector Search (LLM),0.6619340570387383,0.5821428571428572,1.0
white oversized jeans unisex,baseline,Baseline,0.8755470868874027,0.9444444444444445,1.0
red leather dress unisex,vector_search,Vector Search (LLM),0.0,0.0,0.0
red leather dress unisex,baseline,Baseline,0.9659713713740454,0.9583333333333334,1.0
beige wool boots for kids,vector_search,Vector Search (LLM),0.0,0.0,0.0
beige wool boots for kids,baseline,Baseline,1.0,1.0,1.0
beige oversized dress unisex,vector_search,Vector Search (LLM),0.0,0.0,0.0
beige oversized dress unisex,baseline,Baseline,1.0,1.0,1.0
green denim boots for men,vector_search,Vector Search (LLM),0.9828920819566879,0.95,1.0
green denim boots for men,baseline,Baseline,0.8670613028726332,0.6984126984126983,1.0
pink leather trousers for women,vector_search,Vector Search (LLM),0.8175295903539445,0.6428571428571428,1.0
pink leather trousers for women,baseline,Baseline,0.9920466006454153,1.0,1.0
orange denim suit for men,vector_search,Vector Search (LLM),0.7979501216913732,0.5555555555555555,1.0
orange denim suit for men,baseline,Baseline,0.8796395428039253,0.7,1.0
black wool hoodie for men,vector_search,Vector Search (LLM),0.8710785440003369,0.7222222222222222,1.0
