query,model,score
beige slim fit coat for men,Vector Search (LLM),0.8665476858615875
beige slim fit coat for men,Baseline,0.8205682516098023
brown sportswear hoodie for kids,Vector Search (LLM),0.827833604812622
brown sportswear hoodie for kids,Baseline,0.8006182312965393
black oversized jacket for women,Vector Search (LLM),0.8435531854629517
black oversized jacket for women,Baseline,0.8523442924022675
beige oversized t-shirt for kids,Vector Search (LLM),0.8549585103988647
beige oversized t-shirt for kids,Baseline,0.8432152390480041
yellow slim fit skirt for men,Vector Search (LLM),0.776572173833847
yellow slim fit skirt for men,Baseline,0.7878802835941314
green casual dress unisex,Vector Search (LLM),0.7473503768444061
green casual dress unisex,Baseline,0.7751388907432556
beige oversized sneakers for kids,Vector Search (LLM),0.7895746111869812
beige oversized sneakers for kids,Baseline,0.7984332859516143
pink cotton hoodie unisex,Vector Search (LLM),0.8211755573749542
pink cotton hoodie unisex,Baseline,0.8544569790363312
orange oversized skirt for women,Vector Search (LLM),0.8151224970817565
orange oversized skirt for women,Baseline,0.8439842462539673
yellow sportswear dress unisex,Vector Search (LLM),0.8192732930183411
yellow sportswear dress unisex,Baseline,0.7852667391300201
pink leather dress for kids,Vector Search (LLM),0.6734193742275238
pink leather dress for kids,Baseline,0.7385987043380737
blue oversized suit for kids,Vector Search (LLM),0.7770572602748871
blue oversized suit for kids,Baseline,0.7515231370925903
gray formal boots for women,Vector Search (LLM),0.8265696167945862
gray formal boots for women,Baseline,0.7756483793258667
pink formal suit for women,Vector Search (LLM),0.6805765688419342
pink formal suit for women,Baseline,0.751186627149582
orange denim dress for kids,Vector Search (LLM),0.7617007434368134
orange denim dress for kids,Baseline,0.7620894551277161
white wool skirt for kids,Vector Search (LLM),0.7689374327659607
white wool skirt for kids,Baseline,0.8215637445449829
blue wool jeans for men,Vector Search (LLM),0.8488421618938446
blue wool jeans for men,Baseline,0.8741396546363831
black wool boots for men,Vector Search (LLM),0.8024450004100799
black wool boots for men,Baseline,0.8123546957969665
gray oversized sweater for women,Vector Search (LLM),0.8563667416572571
gray oversized sweater for women,Baseline,0.8603039383888245
brown formal coat for women,Vector Search (LLM),0.7870423972606659
brown formal coat for women,Baseline,0.7931402802467347
red leather sweater for men,Vector Search (LLM),0.8247750282287598
red leather sweater for men,Baseline,0.7691546261310578
brown wool jeans unisex,Vector Search (LLM),0.7994139790534973
brown wool jeans unisex,Baseline,0.7535540461540222
black casual hoodie for men,Vector Search (LLM),0.8552484393119812
black casual hoodie for men,Baseline,0.847096961736679
gray cotton suit unisex,Vector Search (LLM),0.7566783785820007
gray cotton suit unisex,Baseline,0.7472504556179047
orange casual scarf for kids,Vector Search (LLM),0.8113123834133148
orange casual scarf for kids,Baseline,0.827403861284256
gray sportswear blazer unisex,Vector Search (LLM),0.800448739528656
gray sportswear blazer unisex,Baseline,0.8249241769313812
pink formal sweater for women,Vector Search (LLM),0.8631128072738647
pink formal sweater for women,Baseline,0.8227109313011169
gray formal dress for women,Vector Search (LLM),0.7275205254554749
gray formal dress for women,Baseline,0.7589655041694641
orange linen suit unisex,Vector Search (LLM),0.7279283583164216
orange linen suit unisex,Baseline,0.7079420268535614
orange wool dress unisex,Vector Search (LLM),0.7356029033660889
orange wool dress unisex,Baseline,0.7744615912437439
white linen hoodie for kids,Vector Search (LLM),0.7917790949344635
white linen hoodie for kids,Baseline,0.8158987700939179
beige slim fit sweater for men,Vector Search (LLM),0.8975518107414245
beige slim fit sweater for men,Baseline,0.8241649508476258
red cotton hoodie unisex,Vector Search (LLM),0.8632671117782593
red cotton hoodie unisex,Baseline,0.8697282910346985
red wool t-shirt unisex,Vector Search (LLM),0.8273509740829468
red wool t-shirt unisex,Baseline,0.8566876590251923
brown slim fit scarf unisex,Vector Search (LLM),0.797720855474472
brown slim fit scarf unisex,Baseline,0.8342345118522644
brown leather hoodie unisex,Vector Search (LLM),0.7211334943771363
brown leather hoodie unisex,Baseline,0.7078602254390717
brown sportswear sneakers for men,Vector Search (LLM),0.7785256147384644
brown sportswear sneakers for men,Baseline,0.7532803118228912
yellow oversized boots for men,Vector Search (LLM),0.7768307864665985
yellow oversized boots for men,Baseline,0.7903774321079254
beige linen suit unisex,Vector Search (LLM),0.8075875222682953
beige linen suit unisex,Baseline,0.7582305431365967
brown casual sneakers for women,Vector Search (LLM),0.7863455653190613
brown casual sneakers for women,Baseline,0.7529754221439362
gray wool dress unisex,Vector Search (LLM),0.785541832447052
gray wool dress unisex,Baseline,0.784042239189148
gray leather coat for kids,Vector Search (LLM),0.7446905255317688
gray leather coat for kids,Baseline,0.7637923359870911
orange oversized sneakers for women,Vector Search (LLM),0.7814703524112702
orange oversized sneakers for women,Baseline,0.8156334519386291
gray cotton shoes for men,Vector Search (LLM),0.841284430027008
gray cotton shoes for men,Baseline,0.7853048622608185
brown sportswear shoes for men,Vector Search (LLM),0.770697170495987
brown sportswear shoes for men,Baseline,0.7578511238098145
white oversized jeans unisex,Vector Search (LLM),0.8750724732875824
white oversized jeans unisex,Baseline,0.8107982337474823
red leather dress unisex,Vector Search (LLM),0.6998022198677063
red leather dress unisex,Baseline,0.7100564479827881
beige wool boots for kids,Vector Search (LLM),0.7775232195854187
beige wool boots for kids,Baseline,0.8356414079666138
beige oversized dress unisex,Vector Search (LLM),0.8112821400165557
beige oversized dress unisex,Baseline,0.779659914970398
green denim boots for men,Vector Search (LLM),0.6574113070964813
green denim boots for men,Baseline,0.7509196996688843
pink leather trousers for women,Vector Search (LLM),0.7766130268573761
pink leather trousers for women,Baseline,0.7857043325901032
orange denim suit for men,Vector Search (LLM),0.7454014241695404
orange denim suit for men,Baseline,0.7237767279148102
black wool hoodie for men,Vector Search (LLM),0.790405535697937
black wool hoodie for men,Baseline,0.8300291299819946
yellow cotton hoodie for women,Vector Search (LLM),0.8386700212955475
yellow cotton hoodie for women,Baseline,0.846321976184845
gray denim shoes for women,Vector Search (LLM),0.7684273004531861
gray denim shoes for women,Baseline,0.7842097461223603
gray linen suit for kids,Vector Search (LLM),0.7326008081436157
gray linen suit for kids,Baseline,0.7480810046195984
red sportswear shoes for men,Vector Search (LLM),0.7970468997955322
red sportswear shoes for men,Baseline,0.7876321911811829
red linen t-shirt for men,Vector Search (LLM),0.8114450514316559
red linen t-shirt for men,Baseline,0.8294902980327606
green sportswear skirt unisex,Vector Search (LLM),0.7833791971206665
green sportswear skirt unisex,Baseline,0.7944469630718232
brown wool t-shirt for women,Vector Search (LLM),0.8590594530105591
brown wool t-shirt for women,Baseline,0.7470468819141388
white linen blazer for men,Vector Search (LLM),0.8425038635730744
white linen blazer for men,Baseline,0.8548800349235535
yellow leather trousers unisex,Vector Search (LLM),0.7612460255622864
yellow leather trousers unisex,Baseline,0.7702440977096557
orange slim fit t-shirt for kids,Vector Search (LLM),0.8625610589981079
orange slim fit t-shirt for kids,Baseline,0.8656355619430542
black oversized blazer unisex,Vector Search (LLM),0.811275839805603
black oversized blazer unisex,Baseline,0.8498466789722443
white oversized trousers unisex,Vector Search (LLM),0.8013095319271087
white oversized trousers unisex,Baseline,0.8226173758506775
red oversized jeans for kids,Vector Search (LLM),0.8351803541183471
red oversized jeans for kids,Baseline,0.8201183676719666
yellow casual suit unisex,Vector Search (LLM),0.7288401603698731
yellow casual suit unisex,Baseline,0.7578758835792542
gray oversized blazer for kids,Vector Search (LLM),0.7954596817493439
gray oversized blazer for kids,Baseline,0.8237235605716705
beige wool blazer for men,Vector Search (LLM),0.8432857096195221
beige wool blazer for men,Baseline,0.8393600165843964
green formal hoodie unisex,Vector Search (LLM),0.8603315770626068
green formal hoodie unisex,Baseline,0.796907490491867
yellow sportswear skirt unisex,Vector Search (LLM),0.8190772771835327
yellow sportswear skirt unisex,Baseline,0.8167200565338135
beige leather boots for kids,Vector Search (LLM),0.8183655917644501
beige leather boots for kids,Baseline,0.8265166819095612
red formal hoodie for kids,Vector Search (LLM),0.7685070335865021
red formal hoodie for kids,Baseline,0.8570722281932831
green slim fit dress for kids,Vector Search (LLM),0.7810617566108704
green slim fit dress for kids,Baseline,0.7734208047389984
pink leather scarf for women,Vector Search (LLM),0.8225908160209656
pink leather scarf for women,Baseline,0.8198354303836822
white wool sneakers unisex,Vector Search (LLM),0.8214613795280457
white wool sneakers unisex,Baseline,0.807768189907074
gray casual suit for women,Vector Search (LLM),0.8042101383209228
gray casual suit for women,Baseline,0.7647764563560486
gray formal boots for men,Vector Search (LLM),0.7131016790866852
gray formal boots for men,Baseline,0.731949257850647
white linen hoodie unisex,Vector Search (LLM),0.786207526922226
white linen hoodie unisex,Baseline,0.7991765141487122
blue linen skirt for kids,Vector Search (LLM),0.8076630294322967
blue linen skirt for kids,Baseline,0.8219017088413239
gray casual scarf for kids,Vector Search (LLM),0.8355647921562195
gray casual scarf for kids,Baseline,0.8587479531764984
brown casual trousers for kids,Vector Search (LLM),0.8654446721076965
brown casual trousers for kids,Baseline,0.8299672245979309
gray linen dress for kids,Vector Search (LLM),0.7592163383960724
gray linen dress for kids,Baseline,0.7849475383758545
blue denim sneakers for women,Vector Search (LLM),0.7762966334819794
blue denim sneakers for women,Baseline,0.7843842148780823
beige denim sneakers for women,Vector Search (LLM),0.854870331287384
beige denim sneakers for women,Baseline,0.8630497515201568
blue wool sneakers unisex,Vector Search (LLM),0.7940764784812927
blue wool sneakers unisex,Baseline,0.7572883486747741
green sportswear suit for kids,Vector Search (LLM),0.6472550511360169
green sportswear suit for kids,Baseline,0.8041128695011139
white wool dress for women,Vector Search (LLM),0.7246867477893829
white wool dress for women,Baseline,0.8175064206123352
beige cotton dress for men,Vector Search (LLM),0.6810869872570038
beige cotton dress for men,Baseline,0.7439724862575531
pink cotton dress for men,Vector Search (LLM),0.7822786390781402
pink cotton dress for men,Baseline,0.7644569218158722
black casual dress for women,Vector Search (LLM),0.838486397266388
black casual dress for women,Baseline,0.8242829024791718
orange formal t-shirt for men,Vector Search (LLM),0.8681515395641327
orange formal t-shirt for men,Baseline,0.7950566709041595
yellow linen boots unisex,Vector Search (LLM),0.7493106603622437
yellow linen boots unisex,Baseline,0.763519698381424
gray slim fit jeans for men,Vector Search (LLM),0.9047726333141327
gray slim fit jeans for men,Baseline,0.894289892911911
green formal t-shirt for men,Vector Search (LLM),0.8397653460502624
green formal t-shirt for men,Baseline,0.8036811947822571
brown formal t-shirt for men,Vector Search (LLM),0.8003838658332825
brown formal t-shirt for men,Baseline,0.753015398979187
red cotton suit for kids,Vector Search (LLM),0.8127756178379059
red cotton suit for kids,Baseline,0.7227693140506745
white wool t-shirt unisex,Vector Search (LLM),0.8778153419494629
white wool t-shirt unisex,Baseline,0.851874053478241
yellow sportswear suit for women,Vector Search (LLM),0.7164709031581878
yellow sportswear suit for women,Baseline,0.7528950273990631
pink oversized boots unisex,Vector Search (LLM),0.7548848152160644
pink oversized boots unisex,Baseline,0.7735140323638916
green sportswear coat for kids,Vector Search (LLM),0.8178861081600189
green sportswear coat for kids,Baseline,0.803921777009964
yellow sportswear jacket for men,Vector Search (LLM),0.7617497265338897
yellow sportswear jacket for men,Baseline,0.8275452494621277
blue wool dress for men,Vector Search (LLM),0.730768620967865
blue wool dress for men,Baseline,0.7395070016384124
red wool jeans for men,Vector Search (LLM),0.7904265940189361
red wool jeans for men,Baseline,0.8110345125198364
red leather coat unisex,Vector Search (LLM),0.721142315864563
red leather coat unisex,Baseline,0.7663902997970581
yellow formal dress for men,Vector Search (LLM),0.6900526940822601
yellow formal dress for men,Baseline,0.718891191482544
blue linen sneakers for kids,Vector Search (LLM),0.7938647329807281
blue linen sneakers for kids,Baseline,0.807630205154419
gray denim skirt for women,Vector Search (LLM),0.7978177189826965
gray denim skirt for women,Baseline,0.8267085731029511
green sportswear skirt for women,Vector Search (LLM),0.8259429037570953
green sportswear skirt for women,Baseline,0.8029000163078308
brown denim scarf for women,Vector Search (LLM),0.828965550661087
brown denim scarf for women,Baseline,0.8178830027580262
orange cotton sweater for kids,Vector Search (LLM),0.9057586491107941
orange cotton sweater for kids,Baseline,0.8605907976627349
red denim jacket for women,Vector Search (LLM),0.785556572675705
red denim jacket for women,Baseline,0.8409616410732269
green sportswear sneakers for kids,Vector Search (LLM),0.6952923178672791
green sportswear sneakers for kids,Baseline,0.7814675629138946
gray denim boots for kids,Vector Search (LLM),0.7669107735157012
gray denim boots for kids,Baseline,0.787322586774826
brown linen scarf unisex,Vector Search (LLM),0.8165739953517914
brown linen scarf unisex,Baseline,0.8160323739051819
gray denim shoes for men,Vector Search (LLM),0.8010639250278473
gray denim shoes for men,Baseline,0.7799071609973908
brown slim fit shoes for kids,Vector Search (LLM),0.7614033699035645
brown slim fit shoes for kids,Baseline,0.7583758890628814
black denim hoodie for men,Vector Search (LLM),0.8280490279197693
black denim hoodie for men,Baseline,0.8287936747074127
orange linen shoes for men,Vector Search (LLM),0.7425957918167114
orange linen shoes for men,Baseline,0.7352965593338012
red formal scarf unisex,Vector Search (LLM),0.7701542019844055
red formal scarf unisex,Baseline,0.8571859776973725
green cotton shoes unisex,Vector Search (LLM),0.7983816742897034
green cotton shoes unisex,Baseline,0.7680836200714112
orange formal t-shirt unisex,Vector Search (LLM),0.8744897186756134
orange formal t-shirt unisex,Baseline,0.8389258742332458
beige oversized trousers for kids,Vector Search (LLM),0.870697659254074
beige oversized trousers for kids,Baseline,0.8341737687587738
orange denim blazer for women,Vector Search (LLM),0.7811813950538635
orange denim blazer for women,Baseline,0.8420820832252502
beige oversized sneakers unisex,Vector Search (LLM),0.8406098842620849
beige oversized sneakers unisex,Baseline,0.8303185880184174
green oversized blazer for men,Vector Search (LLM),0.8493490874767303
green oversized blazer for men,Baseline,0.8002796649932862
gray denim trousers for kids,Vector Search (LLM),0.8719684541225433
gray denim trousers for kids,Baseline,0.8643036961555481
beige denim suit unisex,Vector Search (LLM),0.7884139299392701
beige denim suit unisex,Baseline,0.7361829996109008
pink leather skirt unisex,Vector Search (LLM),0.7858177840709686
pink leather skirt unisex,Baseline,0.7630449533462524
brown leather hoodie for kids,Vector Search (LLM),0.7581182360649109
brown leather hoodie for kids,Baseline,0.7364840865135193
yellow formal skirt unisex,Vector Search (LLM),0.8623093366622925
yellow formal skirt unisex,Baseline,0.8307568609714509
black wool dress for women,Vector Search (LLM),0.8468905806541442
black wool dress for women,Baseline,0.8137806951999664
green formal sweater unisex,Vector Search (LLM),0.8695198118686676
green formal sweater unisex,Baseline,0.8142626106739044
white leather skirt for women,Vector Search (LLM),0.7770408391952515
white leather skirt for women,Baseline,0.8284666121006012
red linen scarf for men,Vector Search (LLM),0.7890470087528229
red linen scarf for men,Baseline,0.821447217464447
pink oversized t-shirt for women,Vector Search (LLM),0.864680963754654
pink oversized t-shirt for women,Baseline,0.8405940473079682
white formal t-shirt for women,Vector Search (LLM),0.8916248798370361
white formal t-shirt for women,Baseline,0.8391496777534485
gray linen scarf for kids,Vector Search (LLM),0.8213534355163574
gray linen scarf for kids,Baseline,0.8091230630874634
